A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,255,255,0,0,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,57,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,2,0,0,0,13,255,255,255,255,255,255,255,255,255,255,21,255,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,0,0,0,0,13,255,255,255,255,255,2,255,255,255,255,107,0,0,0,0,0,0,0,255,198,141,163,184,89,2,255,168,0,0,0,0,0,0,0,0,0,255,2,248,255,26,2,255,2,0,0,0,0,0,0,0,0,0,255,255,255,2,2,2,2,0,0,0,0,0,0,0,0,0,255,255,255,2,2,2,2,0,0,0,0,0,0,0,0,0,0,255,255,2,2,2,2,0,0,0,0,0,0,0,0,0,0,244,255,255,49,2,2,0,0,0,0,0,0,0,0,0,0,3,255,238,255,2,244
C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,120,152,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,255,143,0,0,0,0,0,0,0,0,0,0,0,2,255,255,255,255,255,67,0,0,0,0,0,0,0,0,0,0,5,255,255,255,255,255,243,0,0,0,0,0,0,0,0,0,5,255,255,255,255,255,255,167,48,0,255,0,0,0,0,0,255,255,255,255,255,255,255,255,67,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,220,0,0,0,42,138,255,255,255,255,255,255,255,255,255,255,255,0,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,4,0,0,0,0,0,0,0,0,0,0,0,177,244,255,255,0,0,0,0,0,0,0,0,0,0,0,0,175,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,220,0,0,0,0,0,0,0,0,0,0,0,0,2,255,255,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3
C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,255,185,255,0,0,0,0,0,0,0,0,3,255,2,255,255,255,255,255,255,181,0,0,0,0,0,0,0,0,0,0,153,255,255,255,255,255,71,0,0,0,0,0,0,0,0,0,0,255,255,255,255,255,255,193,0,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,72,0,255,255,0,0,0,0,0,255,255,255,255,255,255,255,212,72,0,196,255,255,255,4,255,255,255,255,255,255,255,255,255,72,0,0,0,255,255,255,255,255,255,255,72,255,255,255,255,255,0,0,0,0,0,0,0,106,255,255,255,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,5,242,255,255,94,0,0,0,0,0,0,0,0,0,0,0,0,255,72,238,177,0,0,0,0,0,0,0,0,0,0,0,0,112,255,255,123,0,0,0,0,0,0,0,0,0,0,0,0,56,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,42,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,18,0,0,0,0,0,0,0,255,255,4,120,255,255,255,255,255,255,38,0,0,0,0,0,0,0,0,0,0,255,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,255,255,0,0,0,0,0,0,0,0,0,4,255,255,255,255,255,255,255,73,0,232,255,255,0,0,3,255,255,255,255,255,255,255,255,92,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,0,0,0,0,0,0,0,0,27,255,255,255,255,255,255,158,0,0,0,0,0,0,0,0,0,0,0,0,0,255,73,255,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,73,0,0,0,0,0,0,0,0,0,0,0,0,0,226,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,1,255,97
C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,255,195,100,0,0,0,0,0,0,0,2,255,255,122,255,255,255,255,255,255,64,0,0,0,0,0,0,0,0,0,0,11,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,161,255,255,255,255,255,142,4,0,0,0,0,0,0,0,0,0,255,255,255,255,255,255,80,0,210,255,0,0,0,0,0,161,255,255,255,255,255,255,86,80,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,80,0,0,0,0,4,255,255,255,255,255,255,255,255,255,255,255,0,0,0,0,0,0,0,0,162,255,255,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0,255,255,233,191,0,0,0,0,0,0,0,0,0,0,0,0,173,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,1,0,0,0,0,0,0,0,0,0,0,0,0,255,240,146,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,118
C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,255,75,183,0,0,0,0,0,0,0,0,255,255,0,106,191,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,36,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,1,255,255,255,255,255,195,0,0,0,255,255,0,0,0,0,255,255,255,255,255,255,255,75,0,0,0,19,255,255,255,255,255,255,255,255,255,255,255,75,75,0,0,0,0,0,0,255,255,255,255,255,255,255,255,255,159,0,0,0,0,0,0,0,0,0,255,255,255,255,255,75,237,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,75,0,0,0,0,0,0,0,0,0,0,0,0,182,255,255,75,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,204,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,250,0,0,0,0,0,2,1,0,0,0,0,0,0,3,255,255
C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,90,0,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,255,49,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,162,0,0,0,0,0,0,0,0,0,0,0,6,255,255,255,255,255,110,0,0,0,0,0,0,0,0,0,0,255,255,255,255,255,255,0,0,0,255,255,56,0,0,0,255,255,255,255,255,255,255,81,71,0,0,134,255,255,255,255,255,255,255,255,255,255,255,255,81,0,0,3,0,0,63,255,255,255,255,255,255,255,255,81,81,0,0,4,0,0,0,0,0,0,81,255,255,255,255,255,219,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,81,0,0,0,0,0,0,0,0,0,0,0,0,31,255,255,81,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,81,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,81,0,0,0,0,0,0,0,0,0,0,0,4,0,1,255,255
C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,255,125,93,0,0,0,0,0,0,0,0,255,255,4,255,255,255,255,255,255,199,0,0,0,0,0,0,0,0,0,0,3,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,4,255,255,255,255,255,110,0,0,0,0,0,0,0,0,0,0,255,255,255,255,255,255,56,0,0,255,213,0,0,0,0,4,255,255,255,255,255,255,81,43,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,81,0,0,0,0,1,255,255,255,255,255,255,255,255,255,255,162,0,0,0,0,0,0,0,0,253,255,255,255,255,255,237,255,64,0,0,0,0,0,0,0,0,0,0,0,224,195,152,173,0,0,0,0,0,0,0,0,0,0,0,0,72,255,202,255,1,0,0,0,0,0,0,0,0,0,0,0,72,255,152,81,0,0,0,0,0,0,0,0,0,1,0,0,0,255,99,255,2,0,0,0,0,0,0,0,0,0,0,0,1,255,202,255
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,255,255,97,0,1,0,0,0,0,0,0,13,255,255,255,255,255,255,255,255,255,22,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,0,0,0,0,0,92,255,255,255,255,255,255,255,255,255,255,2,0,0,0,0,0,255,255,255,255,255,255,136,255,255,255,255,0,0,0,0,0,104,255,255,255,255,255,255,2,255,255,255,0,0,0,0,0,0,0,2,255,255,255,2,255,255,255,255,0,0,0,0,0,0,0,0,0,11,255,172,223,223,2,2,0,0,0,0,0,0,0,0,0,0,255,255,255,2,140,2,2,0,0,0,0,0,0,0,0,0,0,255,255,2,2,2,2,0,0,0,0,0,0,0,0,0,0,255,255,223,2,2,2,227,0,0,0,0,0,0,0,0,0,0,255,255,2,2,2,2,0,0,0,0,0,0,0,0,0,0,255,255,255,156,0,0
C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,30,0,38,0,0,0,0,0,0,0,255,255,5,255,255,255,255,255,255,101,68,0,0,0,0,0,0,0,0,0,0,255,255,255,255,255,255,132,0,0,0,0,0,0,0,0,0,0,119,255,255,255,255,255,255,0,0,0,0,0,0,0,0,0,7,255,255,255,255,255,255,255,0,80,0,0,0,0,0,0,255,255,255,255,255,255,255,255,0,5,255,255,255,0,0,255,255,255,255,255,255,255,255,255,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,0,0,0,0,0,0,0,255,255,255,255,255,255,255,255,255,0,0,0,0,0,5,0,0,0,0,7,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,68,0,0,0,0,0,0,0,0,0,0,30,0,0,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,22,0,255,255
